ID,ARTX,EGUNA,TST.PRRAT,EZEZKOA,ARG.ORO,ARG.ABS,ARG.DAT,ARG.ERG,ARG.Q,AD.NG,AD.NG.Q.ASP,AD.NG.Q_OIN,AD.NG.Q_BUR,AD.NG.Q_GER,AD.NG.Q_BGB,AD.NG.aurrekoan,EZ.aurrekoan,AD.JK,AD.TRINKOA,AD.LAGUNTZAILEA,BRB.Q,MEN,FORM.AMAIERA,ERR,ERR.Q,ERR.Q_2,ERR.Q_3,ERR.Q_4,ERR.Q_5,META,ZA.LUZ0,ZA.LUZ1,ZA.LUZ2,ZA.SIL0,ZA.SIL1,ZA.SIL2,ZA.ZAT0,ZA.ZAT1,ZA.ZAT2,ZA.ERP1,ZA.ERP1,ZA.ERP2,ZA.BRF0,ZA.BRF1,ZA.BRF2,TST.SIL,TST.BRB,TST.GRBI,AD.JK.ARG.FTU.Q_NR,AD.JK.ARG.FTU.Q_NRI,AD.JK.ARG.FTU.Q_NRK,AD.JK.ARG.FTU.ZMT,AD.JK.ARG.ZMT,AD.JK.DST.BRB.ARG.NR,AD.JK.DST.BRB.ARG.NRI,AD.JK.DST.BRB.ARG.NRK,AD.JK.DST.SL.ARG.NR,AD.JK.DST.SL.ARG.NRI,AD.JK.DST.SL.ARG.NRK,AD.JK.DST.DNB.ARG.NR,AD.JK.DST.DNB.ARG.NRI,AD.JK.DST.DNB.ARG.NRK,AD.JK.ZERR,AD.JK.AURREKO.ETENA,AD.JK.AURREKO.ETENA.DENB,AD.JK.MRF.B.EKO,AD.JK.MRF.B.ZUZ,AD.JK.MRF.B.OIN,AD.JK.BLS.Q,ADITZ.KONFIGURAZIOA.Q,ADITZ.KONFIGURAZIOA.INAKUSATIBOA,ADITZ.KONFIGURAZIOA.INERGATIBOA,ADITZ.KONFIGURAZIOA.DATIBODUNA,ADITZ.KONFIGURAZIOA.IRAGANKORRA,ADITZ.PARADIGMA.Q,ADITZ.PARADIGMA.NOR,ADITZ.PARADIGMA.NORNORI,ADITZ.PARADIGMA.NORNORK,ADITZ.PARADIGMA.NORNORINORK,KOMZ.NOR.Q,KOMZ.NORI.Q,KOMZ.NORK.Q,FNTZ.SUBJEKTUA.Q,FNTZ.ZEHAR.OSAGARRIA.Q,FNTZ.OSAGARRI.ZUZENA.Q,MODUA.Q,MODUA.INDIKATIBOA,MODUA.AHALEZKOA,MODUA.MENTURAZKOA,ALDIA.Q,ALDIA.ORAINA,ALDIA.IRAGANA,ALDIA.ALEGIA,ADITZ.ERROREA.DESKRP,ERROREA.MENPERATZAILEAN.EZ.ADITZEAN,ERROREA.MENPEKO.ADITZEAN,KONPLEXUTASUNA.V1,KONPLEXUTASUNA.V2,EZEZKOESALDIA,HURRENGOA.AD.JK,HURRENGOA.AD.TRINKOA,HURRENGOA.AD.LAGUNTZAILEA,ALDAKETAK
1,121017_011_gaia,1,@æ ni,0,1,1,0,0,ABS,0,NA,0,0,0,0,0,0,0,0,0,ARG,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,V3.1.4 Adizkien sailkapenen lehenengo orrazketa
2,121017_011_gaia,1,normalean:,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,normalean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,V3.1.5 D letraz hasten diren aditzak berrikusita
3,121017_011_gaia,1,beti argala:,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,beti argala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,V3.2.0. Berbera
4,121017_011_gaia,1,¡ naiz %|,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,1,1,0,AD.Trinkoa,0,1,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,naiz,1,NA,NA,1,1,4,NA,NA,4,NA,NA,3.401,NA,NA,0,1,0.362,naiz,NAIZ,NAIZ,TRINKOA,INAKUSATIBOA,1,0,0,0,NOR,1,0,0,0,NI,NA,NA,1S,NA,NA,INDIKATIBOA,1,0,0,ORAINALDIA,1,0,0,NA,NA,NA,1,NA,0,0,0,0,V3.2.2. Akats batzuk balioak 0-1 izan behar eta 0-2 ageri da
5,121017_011_gaia,1,@æ nire guraso: +,0,1,1,0,0,ABS,0,NA,0,0,0,0,0,0,0,0,0,ARG,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,nire guraso +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,EUDIA7rako V1 – Berregituraketa eta Ez guztiak kenduta
6,121017_011_gaia,1,+ak,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,+ak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
7,121017_011_gaia,1,argala: *2,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,1,eza,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,argala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,
8,121017_011_gaia,1,¡ dira,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,1,1,0,AD.Trinkoa,0,0,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,dira,1,NA,NA,1,1,5,NA,NA,5,NA,NA,4.705,NA,NA,0,1,0.391,dira,DIRA,DIRA,TRINKOA,INAKUSATIBOA,1,0,0,0,NOR,1,0,0,0,HAIEK,NA,NA,3P,NA,NA,INDIKATIBOA,1,0,0,ORAINALDIA,1,0,0,NA,NA,NA,1,NA,0,0,0,0,
9,121017_011_gaia,1,eta %|,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,1,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,eta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
10,121017_011_gaia,1,hala ere,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,hala ere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
